Name,Type,open,hour,Score,Review,Link,Addr,dis(min)
한남동그집 코엑스사거리점,"호프,요리주점",영업중,매일 17:00 ~ 05:00,3.0,8,,서울 강남구 영동대로112길 6 정원빌딩 지하1층,22
밀밭사이로칼국수,국수,영업중,월~토 11:00 ~ 21:30,3.8,14,,서울 강남구 봉은사로78길 6 1층,14
호랑이초밥 삼성점,"초밥,롤",영업중,월~금 11:30 ~ 22:00,4.3,8,,서울 강남구 삼성로100길 23-11,10
고디바 코엑스몰,초콜릿,영업중,매일 10:30 ~ 22:00,2.3,19,,서울 강남구 영동대로 513 코엑스몰 지하 1층 112호,15
이향숯불갈비,한식,영업중,월~금 11:00 ~ 23:00,3.3,22,,서울 강남구 테헤란로83길 14,5
쿠시152,일본식주점,null data,null data,3.5,7,,서울 강남구 삼성로104길 16 지하1층,10
먹어도돼지,"육류,고기",영업중,월~토 11:00 ~ 05:00,2.2,16,,서울 강남구 학동로56길 32 1층,32
모퉁이우 사랑방,"육류,고기",영업전,매일 17:30 ~ 22:00,2.4,3,,서울 강남구 삼성로122길 42 2층,29
초원족발,"족발,보쌈",null data,null data,2.3,14,,서울 강남구 테헤란로81길 22 1층,4
삼정복집 본점,복어,영업중,매일 11:00 ~ 22:00,3.0,4,,서울 강남구 봉은사로 626 1층,25
쭈소반 강남직영점,"해물,생선",null data,null data,2.7,2,,서울 강남구 봉은사로55길 17 가남빌딩 1층,25
삿뽀로야끼,"육류,고기",null data,null data,3.5,2,,서울 강남구 삼성로100길 13 2층,7
르플로우,테마카페,영업중,매일 09:00 ~ 19:00,5.0,33,,서울 강남구 삼성로107길 23,12
벤스쿠키 파르나스몰점,"제과,베이커리",영업중,매일 10:30 ~ 22:00,2.5,35,,서울 강남구 테헤란로 521 지하1층 F24호,11
칼리가리박사의밀실 삼성점,"호프,요리주점",영업중,매일 17:00 ~ 01:00,3.2,22,,서울 강남구 테헤란로83길 14 삼성역두산위브센티움 1층 106호,5
김밥천국,분식,null data,null data,2.8,3,,서울 강남구 테헤란로83길 14,5
바오바오,중화요리,영업중,매일 11:30 ~ 21:30,2.3,9,,서울 강남구 봉은사로 516,15
르사이공 코엑스점,베트남음식,영업중,매일 11:30 ~ 22:00,2.7,46,,서울 강남구 영동대로 513 지하1층 H104호,15
러브인토스터,토스트,영업중,월~금 08:00 ~ 21:00,4.2,14,,서울 강남구 삼성로115길 37,21
스시욘즈,일식,브레이크타임,매일 12:00 ~ 22:00,4.4,58,,서울 강남구 삼성로96길 11 1층,5
페스티바,이탈리안,휴무일,월요일,0,20,,서울 강남구 영동대로 618 호텔인나인 21층,23
쿠차라 코엑스몰 오크우드점,"멕시칸,브라질",영업중,월~금 11:00 ~ 21:00,3.8,72,,서울 강남구 테헤란로87길 58 컨벤션별관 지하2층 2A06호,15
이곧,한식,브레이크타임,월~토 11:00 ~ 22:00,4.0,14,,서울 강남구 선릉로122길 8,31
귀신반점,중식,영업중,매일 11:30 ~ 24:00,3.4,16,,서울 강남구 학동로88길 5 진흥상가,29
플로팅 L7강남점,뷔페,브레이크타임,매일 07:00 ~ 22:00,4.3,3,,서울 강남구 테헤란로 415 10층,8
플랑플랑,"제과,베이커리",null data,null data,4.2,36,,서울 강남구 봉은사로84길 30 1층,11
투썸플레이스 삼성도심공항점,투썸플레이스,영업중,월~금 07:00 ~ 23:00,3.4,4,,서울 강남구 테헤란로87길 35 1층,8
깐부치킨 선정릉역점,깐부치킨,null data,null data,5.0,14,,서울 강남구 선릉로 604 호산프라자 1층,25
유리카모메 선릉식당,일식,null data,null data,3.0,17,,서울 강남구 삼성로95길 24 1층,4
쉐이크쉑 코엑스점,쉐이크쉑,영업중,매일 10:30 ~ 22:00,3.1,83,,서울 강남구 영동대로 513 지하1층,15
고봉삼계탕 코엑스점,삼계탕,영업중,매일 10:30 ~ 22:00,2.8,42,,서울 강남구 영동대로 513 지하 1층 K109호,15
켄마,"육류,고기",null data,null data,3.6,8,,서울 강남구 삼성로108길 18 1층,12
이나세,일식,영업중,매일 11:00 ~ 22:00,3.4,104,,서울 강남구 테헤란로 521 파르나스몰 지하1층 F-15호,11
리츠빈 삼성점,디저트카페,null data,null data,5.0,0,,서울 강남구 테헤란로81길 52-4 1~3층,8
그랜드인터컨티넨탈 서울파르나스 하코네,일식집,브레이크타임,매일 11:30 ~ 22:00,5.0,30,,서울 강남구 테헤란로 521 1층,11
선릉가든,"육류,고기",null data,null data,0,4,,"서울 강남구 선릉로100길 34 남영빌딩 1,2층",11
브루커피 삼성공항터미널점,커피전문점,영업중,월~금 07:00 ~ 22:00,4.8,48,,서울 강남구 테헤란로87길 57 2층,11
힘난다버거 코엑스점,햄버거,영업중,월~금 09:30 ~ 20:30,4.4,53,,서울 강남구 영동대로 513 지하1층 L104호,15
행복한김치찌개,"찌개,전골",null data,null data,2.2,18,,서울 강남구 선릉로112길 6,24
아티제 코엑스몰점,아티제,영업중,월~금 08:00 ~ 22:00,2.7,69,,서울 강남구 영동대로 513 지하1층,15
스타벅스 삼성현대힐점,스타벅스,영업중,월~금 07:00 ~ 21:00,2.7,2,,서울 강남구 삼성로 605,17
막썰이회30000,회,영업중,월~금 11:00 ~ 24:00,4.3,12,,서울 강남구 봉은사로78길 31,10
품서울,한정식,휴무일,"월,일요일",3.9,7,,서울 강남구 삼성로126길 6 보고재빌딩 6층,27
스타벅스 봉은사역점,스타벅스,영업중,월~금 07:00 ~ 21:00,4.2,6,,서울 강남구 봉은사로 619,25
배스킨라빈스 파르나스몰점,배스킨라빈스,영업중,매일 10:00 ~ 23:00,5.0,97,,서울 강남구 테헤란로 521,11
스타벅스 포스코사거리,스타벅스,영업중,월~금 07:00 ~ 19:00,1.8,5,,서울 강남구 테헤란로 505 화진빌딩,3
나주육곱식당 강남직영점,"곱창,막창",영업중,월~금 00:00 ~ 24:00,3.5,3,,서울 강남구 선릉로92길 11 1층 101호,12
재희키친,"해물,생선",영업중,매일 11:30 ~ 22:00,4.2,20,,서울 강남구 영동대로114길 9 2층,23
최고야닭갈비,닭요리,영업중,월~금 11:00 ~ 23:00,4.3,20,,서울 강남구 삼성로100길 23-2,8
신의주부대찌개 삼성점,"찌개,전골",브레이크타임,매일 11:00 ~ 21:30,3.0,64,,서울 강남구 봉은사로108길 3-10,25
앙꼬,디저트카페,영업중,월~금 07:00 ~ 22:00,4.0,19,,서울 강남구 학동로56길 32,32
KFC 코엑스몰점,KFC,영업중,매일 10:30 ~ 22:00,2.0,5,,서울 강남구 영동대로 513 지하1층 H102호,15
삼환소한마리,"육류,고기",영업중,매일 11:00 ~ 22:00,3.0,8,,서울 강남구 영동대로112길 10,22
일공,중화요리,영업중,매일 09:00 ~ 21:00,4.0,1,,서울 강남구 영동대로112길 61,29
스타벅스 봉은사로선정릉점,스타벅스,영업중,월~금 07:30 ~ 18:00,3.6,5,,서울 강남구 봉은사로 446,18
한국돈거래소,"육류,고기",영업중,매일 10:30 ~ 22:00,3.8,2,,서울 강남구 삼성로100길 23-6,9
코퍼룸,"호프,요리주점",영업중,월~토 11:30 ~ 23:30,2.6,6,,서울 강남구 봉은사로 410 라마다서울호텔 파크프라자 지하2층,21
백우드시카고피자 바베큐펍,피자,영업중,매일 11:00 ~ 02:00,2.4,12,,서울 강남구 테헤란로81길 51 2층,8
카페크레오,카페,null data,null data,4.3,13,,서울 강남구 봉은사로67길 28,22
전주현대옥 코엑스점,전주현대옥,영업중,월~금 07:00 ~ 22:00,3.0,9,,서울 강남구 봉은사로 623 한선빌딩 1층,25
뚜레쥬르 강남구청역점,뚜레쥬르,null data,null data,3.4,11,,서울 강남구 선릉로 664 건설빌딩 1층 101호,34
해중천,중화요리,영업중,매일 00:00 ~ 24:00,3.9,4,,서울 강남구 봉은사로72길 8,15
광화문석갈비 코엑스점,갈비,영업중,매일 11:00 ~ 22:00,4.3,60,,서울 강남구 테헤란로87길 22 도심공항터미널 1층,9
마초갈비,갈비,영업중,매일 11:00 ~ 22:00,3.0,3,,서울 강남구 삼성로96길 7,5
베이비기네스 삼성점,"호프,요리주점",영업중,월~금 11:00 ~ 03:00,4.6,12,,서울 강남구 봉은사로108길 5,24
김명자굴국밥 삼성3호점,"굴,전복",null data,null data,3.5,11,,서울 강남구 삼성로96길 9 지하1층,5
듬북담북 선릉점,"해물,생선",영업중,매일 00:00 ~ 24:00,2.2,10,,서울 강남구 테헤란로69길 9,6
히라메키,퓨전일식,브레이크타임,월~금 11:30 ~ 02:00,4.3,13,,서울 강남구 테헤란로81길 32,5
BHC치킨 삼성점,BHC치킨,영업중,매일 12:00 ~ 24:00,1.7,9,,서울 강남구 영동대로 611 1~2층,21
일마지오 삼성점,이탈리안,영업중,월~토 11:30 ~ 22:30,3.3,14,,서울 강남구 삼성로 511 골든타워 지하1층,2
마이니치라멘 선정릉점,일본식라면,영업중,월~금 11:30 ~ 21:00,4.0,15,,서울 강남구 봉은사로61길 17,25
스타벅스 삼성동점,스타벅스,영업중,월~금 07:00 ~ 20:00,0,3,,서울 강남구 영동대로96길 12,18
생선지존진땡이 삼성점,"해물,생선",null data,null data,5.0,2,,서울 강남구 영동대로106길 41 1층,25
써브웨이 봉은사역점,써브웨이,영업중,매일 08:00 ~ 22:00,2.9,8,,서울 강남구 봉은사로 627,26
교촌치킨 삼성1호점,교촌치킨,영업중,매일 12:00 ~ 24:00,2.0,5,,서울 강남구 봉은사로 451,18
강태웅생생아구,아구,영업중,매일 10:00 ~ 22:00,4.4,4,,서울 강남구 삼성로 543 1~3층,8
홍스나나,일식,브레이크타임,월~금 11:30 ~ 24:00,3.3,20,,서울 강남구 봉은사로57길 13 프러스원 1층,24
신마포갈매기 삼성역점,신마포갈매기,null data,null data,2.5,6,,서울 강남구 삼성로104길 28,11
어머니족발,"족발,보쌈",휴무일,null data,4.3,6,,서울 강남구 삼성로100길 27,9
메종알리스,"제과,베이커리",영업중,매일 08:30 ~ 21:00,4.1,8,,서울 강남구 삼성로119길 14 주호빌딩 1층 102호,25
브라운돈까스 삼성중앙역점,"돈까스,우동",영업중,매일 11:00 ~ 21:00,3.1,12,,서울 강남구 봉은사로 474 쌍용플래티넘 101호,15
패트릭스와플,디저트카페,영업중,월~토 10:30 ~ 19:30,3.0,6,,서울 강남구 선릉로96길 5-16 지하1층,12
윈스커피,커피전문점,영업중,월~금 07:30 ~ 20:00,2.7,55,,서울 강남구 테헤란로83길 18 1층,6
지구당 선릉역점,일식집,영업중,월~토 08:00 ~ 20:30,2.5,31,,서울 강남구 테헤란로 409 1층,11
산노루 서울,카페,영업중,매일 11:00 ~ 20:00,5.0,12,,서울 강남구 삼성로122길 35 1층,29
옥돌양곱창구이,"곱창,막창",영업중,월~토 10:00 ~ 22:00,2.5,14,,서울 강남구 선릉로120길 5,30
가배도 코엑스점,카페,영업중,월~금 07:30 ~ 21:00,4.1,149,,서울 강남구 영동대로 513 1층 E001a호,15
빨강떡볶이 삼성점,떡볶이,영업중,월~토 10:30 ~ 20:00,3.8,11,,서울 강남구 봉은사로67길 30,22
비건이삼,"제과,베이커리",휴무일,월요일,5.0,6,,서울 강남구 삼성로115길 40,22
신촌설렁탕 선릉점,신촌설렁탕,영업중,매일 00:00 ~ 24:00,2.7,12,,서울 강남구 선릉로 530,15
소담골,"육류,고기",휴무일,null data,4.0,3,,서울 강남구 봉은사로114길 30-5,23
마왕족발 삼성점,"족발,보쌈",영업중,월 11:00 ~ 21:50,1.0,6,,서울 강남구 선릉로130길 56,31
스시 하쿠샤,"초밥,롤",휴무일,"월,일요일",4.7,7,,서울 강남구 테헤란로81길 58-4 2층,8
그랜드인터컨티넨탈 서울파르나스 웨이루,중식,브레이크타임,매일 11:30 ~ 22:00,3.0,27,,서울 강남구 테헤란로 521 34층,11
선릉본가 쭈꾸미와대패삼겹,"해물,생선",null data,null data,4.7,5,,서울 강남구 선릉로96길 13,12
이코복스 스타필드 코엑스몰점,커피전문점,영업중,매일 07:30 ~ 23:00,3.0,13,,서울 강남구 영동대로 513 기존컨벤션센타동 지하1층 D104호,15
강남한우정육식당 삼성동직영점,"육류,고기",영업중,매일 11:30 ~ 22:00,3.0,0,,서울 강남구 삼성로 546,8
투썸플레이스 삼성중앙역점,투썸플레이스,영업중,월~금 08:00 ~ 22:00,1.0,0,,서울 강남구 봉은사로 469,17
배스킨라빈스 삼성플래티넘점,배스킨라빈스,영업중,매일 10:00 ~ 23:00,5.0,6,,서울 강남구 봉은사로 474 쌍용플래티넘 제1층,15
브라운돈까스 강남구청역점,"돈까스,우동",영업중,매일 11:00 ~ 21:00,2.2,25,,서울 강남구 선릉로 660 브라운스톤레전드,33
금복당,"해물,생선",영업중,매일 10:30 ~ 22:00,4.2,20,,서울 강남구 영동대로 513 코엑스 지하 1층 P103호,15
커피메이트 백암아트홀점,커피전문점,영업중,월~금 08:00 ~ 21:00,5.0,2,,서울 강남구 테헤란로113길 7,22
여유돼지,삼겹살,영업중,매일 11:31 ~ 22:00,5.0,17,,서울 강남구 선릉로112길 26 1층,22
큐큐면관 삼성점,중화요리,영업중,월~금 07:30 ~ 21:00,2.9,42,,서울 강남구 삼성로96길 7 1층,5
도스타코스 선릉점,도스타코스,영업중,월~금 11:00 ~ 22:00,4.0,17,,서울 강남구 테헤란로69길 10 퍼시픽빌딩 지하 1층 101호,5
벨지움재즈카페,카페,영업중,월~금 11:00 ~ 03:00,3.7,7,,서울 강남구 테헤란로83길 20 건영빌딩 지하1층,6
무샤무샤,"돈까스,우동",영업중,월~금 10:30 ~ 20:30,4.3,12,,서울 강남구 선릉로112길 19,23
초가집,닭요리,영업중,월~토 11:00 ~ 22:00,4.4,3,,서울 강남구 봉은사로74길 18,13
할리스 청담삼성로점,할리스,영업중,매일 08:00 ~ 22:00,5.0,1,,서울 강남구 삼성로119길 8,25
삼성칼국수,국수,null data,null data,5.0,6,,서울 강남구 봉은사로108길 5,24
CJ푸드월드 코엑스몰점,푸드코트,영업중,매일 10:30 ~ 22:00,2.4,28,,서울 강남구 영동대로 513 코엑스몰 H113 지하1층,15
북창동순두부 강남구청점,LA북창동순두부,영업중,매일 11:00 ~ 21:00,2.2,27,,서울 강남구 학동로56길 26 2층,33
웨이크업커피 1호점,카페,영업중,월~금 08:00 ~ 20:00,4.3,9,,서울 강남구 선릉로112길 18 지하 1층 101호,23
세이로켄마,일식,null data,null data,2.7,8,,서울 강남구 테헤란로81길 48,7
메이킷카페,카페,영업중,월~금 12:00 ~ 20:30,4.1,20,,서울 강남구 삼성로 535 삼화빌딩 1층,7
청춘포차,실내포장마차,휴무일,null data,3.8,5,,서울 강남구 봉은사로57길 8,23
청담역2번출구,햄버거,영업중,월~금 08:30 ~ 20:00,0,9,,서울 강남구 영동대로 647 청담역푸르지오시티 105호,32
신라스테이 삼성 카페,뷔페,null data,null data,3.0,9,,서울 강남구 영동대로 506,16
센터커피 삼성점,커피전문점,영업중,월~금 08:00 ~ 18:00,0,6,,서울 강남구 영동대로96길 26,20
브레드바이,"제과,베이커리",null data,null data,3.9,17,,서울 강남구 봉은사로68길 8,18
청담오뎅,일본식주점,null data,null data,2.8,8,,서울 강남구 선릉로 660 브라운스톤레전드 1층114호,33
꽃보다등심,"육류,고기",null data,null data,3.2,7,,서울 강남구 테헤란로77길 23 1층,4
고담식당,"육류,고기",브레이크타임,월~금 11:30 ~ 22:00,5.0,33,,서울 강남구 선릉로 530 2층,15
치킨잇수다,치킨,휴무일,null data,5.0,4,,서울 강남구 테헤란로87길 43 1층,9
커피빈 삼성봉은사로점,커피빈,영업중,매일 07:00 ~ 21:00,4.0,3,,서울 강남구 봉은사로 628 엘슨빌딩 1층,25
송 현대백화점 무역센터점,국수,영업중,매일 11:00 ~ 22:00,3.9,65,,서울 강남구 테헤란로 517 10층,9
하랑,"돈까스,우동",영업중,월~금 11:00 ~ 21:00,5.0,21,,서울 강남구 선릉로112길 38 1층 102호,21
키헤이커피,카페,영업중,월~금 08:30 ~ 18:30,4.2,34,,서울 강남구 봉은사로78길 15 1층 101호,13
투도우,양식,휴무일,월요일,4.5,16,,"서울 강남구 봉은사로 449 1층, 17층",18
호우섬 코엑스점,중화요리,영업중,매일 10:30 ~ 21:00,3.5,77,,서울 강남구 영동대로 513,15
국보전 삼성코엑스점,"호프,요리주점",null data,null data,4.3,7,,서울 강남구 테헤란로81길 60,8
원조을지로골뱅이,"호프,요리주점",null data,null data,5.0,6,,서울 강남구 삼성로100길 23-20,10
BHC치킨 강남구청역점,BHC치킨,영업중,매일 12:00 ~ 24:00,후기미제공,3,,서울 강남구 학동로56길 26 1층 101호,33
캘리포니아피자키친 코엑스점,캘리포니아피자키친,영업중,매일 11:00 ~ 22:00,3.1,95,,서울 강남구 영동대로 513 1층 E002호,15
담미온 삼성중앙역점,국밥,영업중,매일 10:00 ~ 22:00,5.0,6,,서울 강남구 삼성로100길 8,6
갈맛집,갈비,영업중,월~토 11:30 ~ 23:30,4.3,4,,서울 강남구 삼성로91길 38,5
정 한뿌리죽 키친 삼성점,죽,null data,null data,0,10,,서울 강남구 삼성로 517 지하 1층 114호,2
우소우소,"육류,고기",null data,null data,2.4,1,,서울 강남구 봉은사로 610 수도빌딩,21
종로화덕,"육류,고기",null data,null data,3.0,5,,서울 강남구 봉은사로 504,15
김밥천국 삼성점,분식,null data,null data,2.4,2,,서울 강남구 테헤란로77길 6,1
경성면옥,냉면,영업중,매일 09:30 ~ 21:30,2.7,31,,서울 강남구 테헤란로87길 36 도심공항타워 지하1층 B10호,12
새마을식당 삼성코엑스점,새마을식당,영업중,매일 00:00 ~ 24:00,2.1,7,,서울 강남구 삼성로104길 23 1층,11
고피자 삼성1호점,피자,영업중,매일 11:00 ~ 22:00,4.2,4,,서울 강남구 봉은사로63길 14 1층,21
DOM펍&바 삼성점,칵테일바,null data,null data,3.4,1,,"서울 강남구 테헤란로87길 41 지하 1층, 2층",9
반포식스 포스코사거리점,베트남음식,영업중,매일 11:00 ~ 22:00,1.0,27,,서울 강남구 삼성로96길 7 1층,5
우화당,한식,영업중,월~금 12:00 ~ 22:00,2.3,5,,서울 강남구 테헤란로81길 22 구암빌딩 지하1층,4
이자카야산,일본식주점,브레이크타임,월~금 11:30 ~ 24:00,4.7,7,,서울 강남구 봉은사로 445 1층,18
도미노피자 삼성점,도미노피자,영업중,매일 11:30 ~ 21:30,2.4,5,,서울 강남구 봉은사로 451,18
북창동순두부 삼성점,LA북창동순두부,null data,null data,3.6,3,,서울 강남구 봉은사로68길 6 101호,16
아쯔마로,"돈까스,우동",브레이크타임,월~금 11:30 ~ 20:00,4.1,11,,서울 강남구 삼성로126길 14,27
카페170,카페,영업중,월~금 09:30 ~ 01:00,4.3,0,,서울 강남구 학동로56길 37 1층,31
청춘극장,갈비,null data,null data,4.0,2,,서울 강남구 봉은사로72길 6,15
쭈불&쭈불 코엑스점,"해물,생선",영업중,매일 11:00 ~ 22:00,4.0,55,,서울 강남구 테헤란로87길 22 한국도심공항터미널 지하1층 Q121호,9
이향 삼성동분점,한식,null data,null data,3.2,4,,서울 강남구 테헤란로81길 30,5
올래밥상 삼성직영점,"해물,생선",영업중,월~금 11:00 ~ 21:00,4.5,17,,서울 강남구 삼성로100길 14,7
노메,"호프,요리주점",영업중,월~토 11:30 ~ 01:00,3.4,30,,서울 강남구 봉은사로103길 8 2층,23
월스트리트,"호프,요리주점",영업중,월~금 09:00 ~ 02:00,2.6,8,,서울 강남구 테헤란로83길 13 1층,4
봉쥬르와인살롱,술집,영업중,매일 17:00 ~ 01:00,3.5,5,,서울 강남구 삼성로104길 15,10
사리원 삼성점,"불고기,두루치기",영업중,매일 11:00 ~ 22:00,1.8,29,,서울 강남구 영동대로 513 코엑스 D108호,12
영덕횟집,회,영업중,매일 10:00 ~ 24:00,2.3,2,,서울 강남구 테헤란로81길 52,7
일미쌈밥,쌈밥,영업중,월~금 11:00 ~ 21:30,4.4,8,,서울 강남구 봉은사로114길 42 2층,23
키라키라키친,"제과,베이커리",null data,null data,2.3,4,,서울 강남구 삼성로122길 37 1층,29
아우네부대찌개&삼겹살 삼성본점,한식,영업중,월~토 09:30 ~ 02:00,2.4,12,,서울 강남구 테헤란로83길 29,6
왕푸징마라탕,중식,null data,null data,3.4,13,,서울 강남구 테헤란로 517 현대백화점 무역센터점 지하1층,9
커피빈 포스코사거리점,커피빈,영업중,월~금 07:00 ~ 21:00,0,3,,"서울 강남구 테헤란로 439 1,2층",0
리칭,중화요리,영업중,매일 00:00 ~ 24:00,3.2,2,,서울 강남구 삼성로 520,4
크리스피크림도넛 코엑스몰점,크리스피크림도넛,영업중,매일 10:30 ~ 22:00,3.0,9,,서울 강남구 영동대로 513,15
빕스얌딜리버리 삼성점,빕스,null data,null data,0,1,,서울 강남구 테헤란로83길 11 지하 2층,4
생어거스틴 파르나스몰점,생어거스틴,영업중,매일 10:00 ~ 22:00,3.1,93,,서울 강남구 테헤란로 521 지하 1층,11
그랜드인터컨티넨탈 서울파르나스 그랜드델리,"제과,베이커리",영업중,월~금 07:00 ~ 21:00,3.2,38,,서울 강남구 테헤란로 521 1층,11
성가네 큰집추어탕,추어,null data,null data,2.1,4,,서울 강남구 테헤란로113길 15,22
할리스 코엑스점,할리스,영업중,매일 07:00 ~ 23:00,1.4,8,,서울 강남구 영동대로 513 지하1층 C113호,15
번패티번 현대백화점 무역센터점,햄버거,영업중,매일 10:30 ~ 20:00,2.6,55,,서울 강남구 테헤란로 517 지하1층,9
쇼헤이,일본식주점,영업중,매일 17:00 ~ 03:00,1.0,20,,서울 강남구 봉은사로59길 12,22
파스쿠찌 삼성역점,파스쿠찌,영업중,월~금 07:00 ~ 21:00,3.0,2,,서울 강남구 영동대로96길 8 석광빌딩 1층,17
아웃백스테이크하우스 딜리버리 삼성점,아웃백스테이크하우스,영업중,매일 11:00 ~ 21:00,5.0,4,,서울 강남구 테헤란로83길 11 지하1층,4
투썸플레이스 강남삼성로점,투썸플레이스,null data,null data,5.0,1,,서울 강남구 삼성로 519 1층,3
누메아커피바,카페,null data,null data,0,2,,서울 강남구 봉은사로73길 47 1층 101호,24
바토스 파르나스몰점,"멕시칸,브라질",영업중,매일 11:00 ~ 22:00,3.3,77,,서울 강남구 테헤란로 521 파르나스타워 지하1층 F-25호,11
만리장성,중화요리,영업중,매일 11:00 ~ 21:00,2.1,5,,서울 강남구 영동대로114길 7,23
커피빈 도심공항타워점,커피빈,영업중,월~금 07:00 ~ 24:00,3.2,3,,서울 강남구 테헤란로87길 36 공항타워 1층 101호,12
스타벅스 코엑스아셈타워점,스타벅스,영업중,월~금 07:00 ~ 22:00,3.0,6,,서울 강남구 영동대로 517,15
탄탄면공방 파르나스몰점,아시아음식,영업중,매일 10:30 ~ 22:00,3.6,67,,서울 강남구 테헤란로 521 파르나스타워 B1 탄탄면공방,11
네모오징어 포스코사거리점,"해물,생선",영업중,월~토 11:00 ~ 22:00,3.7,9,,서울 강남구 테헤란로77길 17 1층,3
카페리즈,카페,null data,null data,5.0,2,,서울 강남구 봉은사로61길 31,25
카페베네 선릉역점,카페베네,영업중,월~금 07:00 ~ 23:00,5.0,11,,서울 강남구 테헤란로 411 성담빌딩 1층,10
이디야커피 삼성한전점,이디야커피,영업중,월~금 08:00 ~ 21:00,4.8,3,,서울 강남구 테헤란로107길 11,20
사보텐 코엑스점,사보텐,영업중,매일 11:00 ~ 22:00,2.7,36,,서울 강남구 영동대로 513 지하1층 D110호,15
에머이 삼성점,에머이,영업중,매일 11:00 ~ 22:30,2.5,19,,서울 강남구 삼성로96길 6 LG트윈빌 1층,4
그랜드 인티컨티넨탈 실크로드클럽,양식,null data,null data,0,1,,서울 강남구 테헤란로 521,11
카페밀트,카페,영업중,월~토 10:00 ~ 20:00,5.0,4,,서울 강남구 봉은사로59길 13,23
홍수계찜닭 코엑스점,닭요리,영업중,매일 11:00 ~ 22:00,3.8,29,,서울 강남구 테헤란로87길 46 오크우드호텔 지하2층,15
이화옥,"육류,고기",영업중,매일 11:00 ~ 22:00,2.4,34,,서울 강남구 테헤란로83길 40,8
리드커피스탠드,카페,금일영업마감,월~금 08:00 ~ 16:00,5.0,8,,서울 강남구 선릉로112길 21 1층,23
도모다찌,"돈까스,우동",영업중,매일 11:00 ~ 22:00,1.7,26,,서울 강남구 영동대로 513 지하1층 L101호,15
클로리스 삼성중앙역점,커피전문점,영업중,월~금 08:00 ~ 21:00,5.0,8,,서울 강남구 봉은사로 502 삼하빌딩 1층,15
맘스터치 삼성중앙역점,맘스터치,영업중,매일 10:30 ~ 22:00,2.4,6,,서울 강남구 봉은사로 471,17
샐러디 강남구청역점,샐러디,영업중,매일 08:00 ~ 21:00,5.0,21,,서울 강남구 선릉로 660 브라운스톤 빌딩 1층 F107호,33
리향,중화요리,영업중,매일 10:30 ~ 21:30,3.3,7,,서울 강남구 선릉로 574 1층,23
대원정,한식,null data,null data,2.5,6,,서울 강남구 테헤란로77길 17,3
깐부치킨 삼성점,깐부치킨,영업중,매일 16:00 ~ 02:00,3.1,4,,서울 강남구 삼성로96길 3,4
매머드커피 선정릉점,커피전문점,영업중,월~금 07:30 ~ 20:00,0,0,,서울 강남구 삼성로 517 채널리저브 상가 103호,2
카페엠,카페,영업중,월~금 08:00 ~ 20:00,0,11,,서울 강남구 삼성로 634,25
수림복국 별관,복어,금일영업마감,월~금 11:00 ~ 15:00,0,2,,서울 강남구 테헤란로77길 6 2층,1
단골집,해장국,영업중,월~금 11:00 ~ 22:00,5.0,14,,서울 강남구 선릉로112길 36 1층,21
바다사랑,"해물,생선",영업중,월~금 07:00 ~ 21:00,후기미제공,3,,서울 강남구 삼성로91길 24 남성빌딩 1층,2
에그드랍 파르나스몰점,에그드랍,영업중,매일 08:30 ~ 22:00,3.3,46,,서울 강남구 테헤란로 521 지하1층,11
공이집,냉면,영업중,매일 11:00 ~ 22:00,1.7,10,,서울 강남구 학동로 520 1층,31
뻘밭에핀꽃,한식,영업중,월~토 10:00 ~ 22:00,4.6,64,,서울 강남구 테헤란로87길 21 지하1층,7
한우정육식당,"육류,고기",null data,null data,1.0,2,,서울 강남구 봉은사로78길 37,9
전우소고기해장국,해장국,영업중,매일 07:00 ~ 22:00,4.7,4,,서울 강남구 테헤란로81길 46-3 1층,7
일품두부 삼성동본점,두부전문점,null data,null data,4.3,1,,서울 강남구 영동대로 644 지하1층,31
도원스타일 무역센터점,중화요리,영업중,매일 01:00 ~ 22:00,2.6,38,,서울 강남구 테헤란로 517 현대백화점 무역센터점 10층,9
박영석 베이크하우스,"제과,베이커리",영업중,월~토 08:00 ~ 20:50,5.0,1,,서울 강남구 봉은사로71길 49,25
쇼군 스타필드 코엑스몰점,일본식라면,영업중,매일 11:00 ~ 22:00,1.8,34,,서울 강남구 영동대로 513 컨벤션센터 코엑스몰 지하1층 O105호,15
김이정숯불구이,"육류,고기",영업중,월~금 17:00 ~ 23:00,5.0,12,,서울 강남구 테헤란로81길 46-5 1층,7
니뽕내뽕 코엑스점,니뽕내뽕,영업중,매일 11:00 ~ 21:00,2.4,56,,서울 강남구 봉은사로 524 코엑스몰 컨벤션센타동 지하1층 H117호,15
바나프레소 포스코사거리점,카페,영업중,월~금 07:00 ~ 21:00,5.0,2,,서울 강남구 테헤란로 447 KB우준타워 1층,1
던킨도너츠 현대아이파크타워점,던킨도너츠,영업중,월~금 07:00 ~ 19:00,5.0,1,,서울 강남구 영동대로 520 아이파크타워 1층,20
신사골감자탕 삼성점,감자탕,영업중,매일 09:00 ~ 22:00,3.7,4,,서울 강남구 삼성로104길 8 1층,9
금장한우,"육류,고기",null data,null data,4.0,1,,서울 강남구 봉은사로82길 29,11
바른치킨 선정릉역점,바른치킨,null data,null data,3.8,3,,서울 강남구 선릉로 574 자진빌딩,23
