Name,Type,open,hour,Score,Review,Link,Addr,dis(min)
홍백,"육류,고기",영업중,매일 00:00 ~ 24:00,4.1,13,,서울 강남구 삼성로 571,14
칠백식당 삼성직영점,"육류,고기",영업중,매일 17:00 ~ 23:00,3.1,43,,서울 강남구 봉은사로63길 7,21
어반81,카페,영업중,월~금 09:00 ~ 20:00,4.3,7,,서울 강남구 봉은사로67길 14 1층 101호,19
하나샤부정,샤브샤브,영업중,월~토 11:30 ~ 22:00,4.3,33,,서울 강남구 테헤란로81길 62,9
그릴1492 삼성1호점,"육류,고기",영업중,매일 00:00 ~ 24:00,4.2,24,,서울 강남구 삼성로91길 36 J타워 1층,4
남원추어탕,추어,영업중,매일 09:00 ~ 21:00,4.3,12,,서울 강남구 테헤란로69길 16 1층,5
스타벅스 스타필드코엑스몰 R점,스타벅스,영업중,월~금 07:00 ~ 22:00,3.1,42,,서울 강남구 삼성동 159-9,12
블랙랩,카페,영업중,월~금 08:00 ~ 21:00,3.6,29,,서울 강남구 선릉로96길 5-16 지하1층,12
사까나야바로바로 선릉점,"초밥,롤",브레이크타임,월~금 11:30 ~ 22:00,4.0,18,,서울 강남구 선릉로 528 2층,15
미성양꼬치 삼성점,양꼬치,휴무일,null data,2.9,54,,서울 강남구 테헤란로81길 56-3 1~2층,8
데블스도어 코엑스점,"호프,요리주점",영업중,"월,화,수,목,일 11:30 ~ 23:00",2.9,117,,서울 강남구 영동대로 513 1층,12
오크우드프리미어호텔 오크레스토랑&바,뷔페,영업중,매일 06:30 ~ 22:00,4.4,3,,서울 강남구 테헤란로87길 46 5층,15
백세주마을 삼성점,"호프,요리주점",영업중,월~토 17:00 ~ 24:00,3.8,18,,서울 강남구 봉은사로 641 국순당빌딩 1층,28
맥도날드 강남삼성DT점,맥도날드,영업중,매일 07:00 ~ 22:00,3.2,21,,서울 강남구 봉은사로 432,19
타이거슈가 삼성로점,카페,영업중,매일 11:00 ~ 22:00,4.0,20,,서울 강남구 삼성로96길 19 1층,6
원조광양불고기 삼성점,"불고기,두루치기",영업중,매일 11:00 ~ 22:00,2.8,13,,서울 강남구 삼성로 529,5
경평면옥,냉면,영업중,월~토 11:00 ~ 21:30,3.8,35,,서울 강남구 삼성로104길 12,9
성북동청국장,"찌개,전골",영업중,매일 11:00 ~ 22:00,3.9,48,,서울 강남구 봉은사로104길 6 1층,21
